HistoricalDate,INDEX_NAME,OPEN,HIGH,LOW,CLOSE
17 Jan 2024,Nifty Bank,46573.95,47212.75,45979.60,46064.45
16 Jan 2024,Nifty Bank,48109.95,48305.40,48002.85,48125.10
15 Jan 2024,Nifty Bank,47891.05,48248.05,47825.40,48158.30
12 Jan 2024,Nifty Bank,47572.70,47873.70,47408.50,47709.80
11 Jan 2024,Nifty Bank,47538.60,47662.10,47237.00,47438.35
10 Jan 2024,Nifty Bank,47073.85,47423.45,47010.80,47360.85
09 Jan 2024,Nifty Bank,47705.40,47939.30,47156.05,47242.65
08 Jan 2024,Nifty Bank,48096.65,48154.50,47387.35,47450.25
05 Jan 2024,Nifty Bank,48245.55,48381.95,47822.85,48159.00
04 Jan 2024,Nifty Bank,47805.40,48281.20,47738.15,48195.85
03 Jan 2024,Nifty Bank,47796.30,47798.75,47481.35,47704.95
02 Jan 2024,Nifty Bank,48194.80,48223.55,47689.80,47761.65
01 Jan 2024,Nifty Bank,48203.45,48450.00,48044.15,48234.30
29 Dec 2023,Nifty Bank,48374.85,48477.70,48091.85,48292.25
28 Dec 2023,Nifty Bank,48479.05,48636.45,48343.15,48508.55
27 Dec 2023,Nifty Bank,47818.50,48347.65,47806.70,48282.20
26 Dec 2023,Nifty Bank,47576.40,47838.45,47411.65,47724.85
22 Dec 2023,Nifty Bank,47837.75,48071.40,47415.85,47491.85
21 Dec 2023,Nifty Bank,47172.45,47932.40,46919.70,47840.15
20 Dec 2023,Nifty Bank,48085.35,48166.15,47202.65,47445.30
19 Dec 2023,Nifty Bank,47940.40,48017.00,47646.05,47870.90
18 Dec 2023,Nifty Bank,48068.50,48076.60,47806.70,47867.70
15 Dec 2023,Nifty Bank,47939.90,48219.95,47632.85,48143.55
14 Dec 2023,Nifty Bank,47567.65,47943.60,47510.85,47732.30
13 Dec 2023,Nifty Bank,47190.75,47201.95,46886.90,47092.25
12 Dec 2023,Nifty Bank,47421.70,47454.00,47004.05,47097.55
11 Dec 2023,Nifty Bank,47233.30,47588.00,47186.60,47314.25
08 Dec 2023,Nifty Bank,46797.20,47303.65,46793.90,47262.00
07 Dec 2023,Nifty Bank,46735.40,46927.70,46507.15,46841.40
06 Dec 2023,Nifty Bank,47256.75,47259.85,46750.20,46834.55
05 Dec 2023,Nifty Bank,46895.90,47230.55,46653.65,47012.25
04 Dec 2023,Nifty Bank,45671.50,46484.45,45484.20,46431.40
01 Dec 2023,Nifty Bank,44580.15,44951.10,44531.75,44814.20
30 Nov 2023,Nifty Bank,44711.20,44764.80,44254.60,44481.75
29 Nov 2023,Nifty Bank,44081.75,44630.35,44003.45,44566.45
28 Nov 2023,Nifty Bank,43851.55,43960.30,43739.80,43880.95
24 Nov 2023,Nifty Bank,43607.35,43806.50,43566.15,43769.10
23 Nov 2023,Nifty Bank,43452.75,43649.65,43451.35,43577.50
22 Nov 2023,Nifty Bank,43663.60,43692.50,43230.95,43449.60
21 Nov 2023,Nifty Bank,43790.95,43790.95,43586.45,43689.15
20 Nov 2023,Nifty Bank,43591.50,43724.00,43450.05,43584.95
17 Nov 2023,Nifty Bank,43656.25,43872.85,43513.85,43583.95
16 Nov 2023,Nifty Bank,44251.70,44420.95,44064.15,44161.55
15 Nov 2023,Nifty Bank,44398.45,44408.55,44164.55,44201.70
13 Nov 2023,Nifty Bank,43915.10,43970.75,43681.40,43891.25
12 Nov 2023,Nifty Bank,44054.50,44056.00,43916.60,43996.65
10 Nov 2023,Nifty Bank,43543.25,43908.70,43504.95,43820.10
09 Nov 2023,Nifty Bank,43626.10,43876.75,43542.65,43683.60
08 Nov 2023,Nifty Bank,43791.80,43797.55,43547.75,43658.65
07 Nov 2023,Nifty Bank,43598.85,43799.35,43283.85,43737.90
06 Nov 2023,Nifty Bank,43627.75,43648.70,43415.20,43619.40
03 Nov 2023,Nifty Bank,43318.30,43416.10,43221.00,43318.25
02 Nov 2023,Nifty Bank,43018.70,43271.50,42796.45,43017.20
01 Nov 2023,Nifty Bank,42694.25,42815.15,42589.65,42700.95
31 Oct 2023,Nifty Bank,43356.85,43356.85,42797.15,42845.95
30 Oct 2023,Nifty Bank,42721.40,43112.50,42390.50,43039.15
27 Oct 2023,Nifty Bank,42555.60,42840.15,42482.75,42782.00
26 Oct 2023,Nifty Bank,42708.40,42716.20,42105.40,42280.15
25 Oct 2023,Nifty Bank,43308.30,43397.45,42758.40,42832.00
23 Oct 2023,Nifty Bank,43822.70,43831.30,43029.45,43151.20
20 Oct 2023,Nifty Bank,43584.25,43877.50,43567.45,43723.05
19 Oct 2023,Nifty Bank,43616.75,44058.80,43558.10,43754.50
18 Oct 2023,Nifty Bank,44404.20,44412.50,43861.45,43888.70
17 Oct 2023,Nifty Bank,44589.80,44589.85,44336.95,44409.50
16 Oct 2023,Nifty Bank,44204.75,44356.95,44044.40,44225.90
13 Oct 2023,Nifty Bank,44322.05,44563.05,44203.70,44287.95
12 Oct 2023,Nifty Bank,44571.55,44693.05,44530.05,44599.20
11 Oct 2023,Nifty Bank,44554.90,44710.55,44411.40,44516.90
10 Oct 2023,Nifty Bank,44027.55,44487.25,44004.55,44360.15
09 Oct 2023,Nifty Bank,44057.80,44113.20,43796.75,43886.50
06 Oct 2023,Nifty Bank,44395.40,44500.70,44242.95,44360.60
05 Oct 2023,Nifty Bank,44181.35,44391.85,44108.30,44213.35
04 Oct 2023,Nifty Bank,44108.15,44161.35,43857.50,43964.05
03 Oct 2023,Nifty Bank,44561.50,44566.30,44243.10,44399.05
29 Sep 2023,Nifty Bank,44445.35,44755.05,44344.90,44584.55
28 Sep 2023,Nifty Bank,44700.35,44756.80,44248.20,44300.95
27 Sep 2023,Nifty Bank,44465.90,44668.00,44182.50,44588.30
26 Sep 2023,Nifty Bank,44722.50,44773.80,44532.45,44624.20
25 Sep 2023,Nifty Bank,44615.00,44936.55,44400.90,44766.10
